const,code,date,lstm,arima,fbprophet,RL,mail_news,mail_news_nsi,asia_news,asia_news_nsi,sampro_youtube,hk_youtube,suka_youtube,change,logit,up_ratio
1.0,005930,2021-08-23,73480.55,72207.03130261369,75043.06213060771,-1,0.4982539682539683,99.95079365079366,0.5453216374269005,109.22222222222221,0.09887857735157013,0.4534282684326172,0.06641898676753044,1,-1,0.4644891062221757
1.0,005930,2021-08-25,74292.41,76534.1718241589,74916.50851611068,-1,0.7577922077922078,151.69480519480518,0.6071192248611602,121.4561030367482,0.26611368730664253,0.6245437562465668,0.020986057817935944,1,1,0.9023012307306704
1.0,005930,2021-08-27,72219.69,74931.05126296877,74782.83174931147,0,0.7266666666666667,145.63333333333333,0.3208144796380091,64.22171945701358,0.3790043368935585,0.22226251661777496,0.39506417512893677,-1,1,0.5249331600977365
1.0,005930,2021-09-01,72471.8,77501.13138877334,75048.49203752485,-1,0.5944444444444444,119.22222222222223,0.4908424908424909,98.32234432234432,0.23433254659175873,0.44498640298843384,0.18287937343120575,1,-1,0.22333131018853916
1.0,005930,2021-09-06,72939.66,76615.23125066585,75586.20898948648,1,0.5762698412698413,115.35396825396825,0.6203703703703703,124.40740740740739,0.416445550819238,0.6222979426383972,0.06053808331489563,1,-1,0.43059099830518743
1.0,005930,2021-09-07,73870.63,77501.54723322426,75854.63447548951,-1,0.5381944444444444,107.72222222222223,0.7619047619047619,152.38095238095238,0.454739122150036,0.5215798746794462,0.991370439529419,-1,1,0.9623640561655734
1.0,005930,2021-09-08,73032.3,76043.56628843557,75901.8349797447,-1,0.6245421245421245,125.15842490842492,0.5258692365835224,105.38813303099018,0.27780673541128637,0.4635603427886963,0.11917796730995178,1,-1,0.4599938542129609
1.0,005930,2021-09-09,72477.36,76228.68760918258,76017.62000519992,1,0.513888888888889,103.27777777777777,0.6294261294261294,126.1159951159951,0.3810144181673725,0.5465346676297486,0.033526718616485596,-1,-1,0.40852799002991735
1.0,005930,2021-09-13,73232.01,75055.5936773032,76387.83494913184,-1,0.5578947368421052,112.15789473684211,0.3999789915966387,80.34579831932771,0.5204578836758932,0.5309395872056484,0.010048317722976208,1,-1,0.01121157268518039
1.0,005930,2021-09-15,72621.2,77020.5630452336,76551.85407401348,-1,0.7823529411764706,156.76470588235293,0.5076208513708514,101.8575036075036,0.37133078111542595,0.5125603917986155,0.5087302923202515,1,-1,0.48892359527426
