,const,code,date,lstm,arima,fbprophet,RL,mail_news,mail_news_nsi,asia_news,asia_news_nsi,sampro_youtube,hk_youtube,suka_youtube,change,logit,up_ratio
0,1.0,68270,2021-09-17,272602.0891368389,266370.6096988693,272114.3768209993,-1,0.5,100.33333333333331,0.3056410256410257,61.328205128205134,0.0,0.0,0.0,1,1,0.5698597095258449
1,1.0,68270,2021-09-23,276749.29478764534,273738.5176149943,266664.7046926791,-1,0.4652777777777777,93.2222222222222,0.3954545454545455,79.2159090909091,0.08285627886652946,0.0,0.0,1,-1,0.37903144784519055
2,1.0,68270,2021-09-24,286227.86182165146,283564.83800737193,266566.42796655325,0,0.6666666666666666,133.33333333333334,0.5302579365079365,106.21825396825398,0.3661682593325774,0.2683927118778229,0.0,-1,-1,0.2807582180131989
3,1.0,68270,2021-09-27,277937.6009404659,276013.25777056447,264307.98833139107,0,0.3333333333333333,66.66666666666667,0.6071428571428572,121.42857142857143,0.11035582423210144,0.2683927118778229,0.0,-1,-1,0.32904171501024426
4,1.0,68270,2021-09-28,272459.64094996447,268865.55903987173,262653.6094847666,0,0.2857142857142857,57.14285714285714,0.6071428571428572,121.42857142857143,0.17228135466575625,0.2683927118778229,0.0,-1,-1,0.4082149345761389
5,1.0,68270,2021-09-29,265030.4507613182,264366.4266169934,261011.30234271273,-1,0.4583333333333333,91.66666666666669,0.0,0.0,0.11413507163524628,0.2683927118778229,0.0,-1,-1,0.3707775262202058
6,1.0,68270,2021-09-30,259336.45299077034,261291.31621639465,260820.27919215072,0,0.5,100.0,0.0,0.0,0.11413507163524628,0.2683927118778229,0.0,-1,-1,0.4090699236444083
7,1.0,68270,2021-10-01,260971.3155925274,259250.2712562009,260677.5331041686,-1,0.5,100.0,0.30081699346405233,60.33006535947714,0.11413507163524628,0.2683927118778229,0.0,-1,-1,0.49476785542708257
8,1.0,68270,2021-10-05,258627.73391604426,248176.54477189324,256468.078915501,1,0.4571428571428572,91.42857142857143,0.2770851370851371,55.51702741702743,0.1411760449409485,0.2683927118778229,0.0,-1,1,0.6190728183266061
9,1.0,68270,2021-10-06,236828.3559530973,219965.17201814972,254703.83851222807,0,0.14285714285714285,28.57142857142857,0.08333333333333333,16.666666666666654,0.8897123932838441,0.2683927118778229,0.0,-1,1,0.874554798160159
