const,code,date,lstm,arima,fbprophet,RL,mail_news,mail_news_nsi,asia_news,asia_news_nsi,sampro_youtube,hk_youtube,suka_youtube,change,logit,up_ratio
1.0,68270,2021-09-16,262093.451010108,271164.8731673889,273396.05310419115,0,0.5,101.0,0.35714285714285715,71.42857142857143,0.5025660786777735,0.3641533255577088,0.5087302923202515,-1,-1,0.35423199868634386
1.0,68270,2021-09-17,261810.48233732578,266882.02444341395,273536.705609482,-1,0.5,100.33333333333331,0.3056410256410257,61.328205128205134,0.5025660786777735,0.3641533255577088,0.5087302923202515,1,1,0.612788646141363
1.0,68270,2021-09-23,267811.6313104629,274402.60494043696,268980.87379640085,-1,0.4652777777777777,93.2222222222222,0.3954545454545455,79.2159090909091,0.08285627886652946,0.3641533255577088,0.5087302923202515,1,-1,0.4518605856058174
1.0,68270,2021-09-24,278340.85235202307,284047.20782922703,269076.3379079766,0,0.6666666666666666,133.33333333333334,0.5302579365079365,106.21825396825398,0.3661682593325774,0.2683927118778229,0.5087302923202515,-1,-1,0.20652093281259531
1.0,68270,2021-09-27,269108.3190949559,275974.62980896456,267434.48407215165,0,0.3333333333333333,66.66666666666667,0.6071428571428572,121.42857142857143,0.11035582423210144,0.2683927118778229,0.5087302923202515,-1,-1,0.24624604860468022
1.0,68270,2021-09-28,263795.9280128479,268459.3088898473,265979.6475376944,0,0.2857142857142857,57.14285714285714,0.6071428571428572,121.42857142857143,0.17228135466575625,0.2683927118778229,0.5087302923202515,-1,-1,0.4382331994422697
1.0,68270,2021-09-29,255644.1982782185,263787.25058998103,264758.7390496255,-1,0.4583333333333333,91.66666666666669,0.0,0.0,0.11413507163524628,0.2683927118778229,0.5087302923202515,-1,1,0.6501884093631752
1.0,68270,2021-09-30,249901.6486350298,260767.91983797797,264500.20927206666,0,0.5,100.0,0.0,0.0,0.11413507163524628,0.2683927118778229,0.5087302923202515,-1,1,0.5215509519573398
1.0,68270,2021-10-01,252360.98889169094,258977.1200878279,264551.23761243315,-1,0.5,100.0,0.30081699346405233,60.33006535947714,0.11413507163524628,0.2683927118778229,0.5087302923202515,-1,1,0.5272637927718209
1.0,68270,2021-10-05,247830.12098503113,248132.3222680809,261007.47274328046,1,0.5,100.0,0.1976911976911977,39.538239538239544,0.2242267578840256,0.2683927118778229,0.5087302923202515,-1,-1,0.4959906026554905
