date,news_num,KOSELF_neg_word,news_word,cosine_similarity,frequency
2019-01-02,1,둔화,악화,0.5065981149673462,1
2019-01-02,1,둔화,업황,0.5578197240829468,1
2019-01-02,1,둔화,반등,0.5092458724975586,3
2019-01-02,1,둔화,급락,0.5491443276405334,1
2019-01-02,1,악화,둔화,0.5065981149673462,2
2019-01-02,1,약화,저하,0.5494820475578308,1
2019-01-02,1,약화,악화,0.5064777731895447,1
2019-01-02,1,의혹,논란,0.5190056562423706,1
2019-01-02,1,침체,경기,0.5360626578330994,8
2019-01-02,1,침체,불황,0.6393564939498901,1
2019-01-02,1,침체,둔화,0.5701860189437866,2
2019-01-02,1,침체,업황,0.5205410122871399,1
2019-01-02,1,하락,저하,0.5286633372306824,1
2019-01-02,1,하락,상승,0.7126480340957642,3
2019-01-02,1,하락,둔화,0.5260781049728394,2
2019-01-02,1,하락,반등,0.5754541158676147,3
2019-01-02,1,하락,급락,0.6878489851951599,1
2019-01-02,2,둔화,약세,0.5189449787139893,2
2019-01-02,2,둔화,하락,0.5260781049728394,2
2019-01-02,2,하락,상승,0.7126480340957642,7
2019-01-02,2,하락,약세,0.5661999583244324,2
2019-01-02,2,하락,하락,0.9999999403953552,2
2019-01-02,2,하락,등락,0.5736824870109558,1
2019-01-02,3,둔화,약세,0.5189449787139893,2
2019-01-02,3,둔화,하락,0.5260781049728394,2
2019-01-02,3,하락,상승,0.7126480340957642,7
2019-01-02,3,하락,약세,0.5661999583244324,2
2019-01-02,3,하락,하락,0.9999999403953552,2
2019-01-02,3,하락,등락,0.5736824870109558,1
2019-01-03,6,둔화,약세,0.5189449787139893,2
2019-01-03,6,둔화,하락,0.5260781049728394,4
2019-01-03,6,하락,약세,0.5661999583244324,2
2019-01-03,6,하락,하락,0.9999999403953552,4
2019-01-03,7,둔화,하락,0.5260781049728394,6
2019-01-03,7,악화,둔화,0.5065981149673462,1
2019-01-03,7,침체,위기,0.507282018661499,1
2019-01-03,7,침체,둔화,0.5701860189437866,1
2019-01-03,7,하락,상승,0.7126480340957642,5
2019-01-03,7,하락,둔화,0.5260781049728394,1
2019-01-03,7,하락,하락,0.9999999403953552,6
2019-01-03,8,둔화,약세,0.5189449787139893,2
2019-01-03,8,둔화,하락,0.5260781049728394,4
2019-01-03,8,하락,약세,0.5661999583244324,2
2019-01-03,8,하락,하락,0.9999999403953552,4
2019-01-03,9,둔화,하락,0.5260781049728394,6
2019-01-03,9,악화,둔화,0.5065981149673462,1
2019-01-03,9,침체,위기,0.507282018661499,1
2019-01-03,9,침체,둔화,0.5701860189437866,1
2019-01-03,9,하락,상승,0.7126480340957642,5
2019-01-03,9,하락,둔화,0.5260781049728394,1
2019-01-03,9,하락,하락,0.9999999403953552,6
2019-01-03,11,둔화,약세,0.5189449787139893,1
2019-01-03,11,둔화,하락,0.5260781049728394,4
2019-01-03,11,둔화,위축,0.6352296471595764,1
2019-01-03,11,악화,둔화,0.5065981149673462,5
2019-01-03,11,약화,위축,0.5172010660171509,1
2019-01-03,11,침체,경기,0.5360626578330994,7
2019-01-03,11,침체,둔화,0.5701860189437866,5
2019-01-03,11,침체,위축,0.550397515296936,1
2019-01-03,11,하락,상승,0.7126480340957642,3
2019-01-03,11,하락,약세,0.5661999583244324,1
2019-01-03,11,하락,둔화,0.5260781049728394,5
2019-01-03,11,하락,하락,0.9999999403953552,4
2019-01-03,11,하락,보합,0.6176052689552307,2
2019-01-03,12,둔화,약세,0.5189449787139893,1
2019-01-03,12,둔화,하락,0.5260781049728394,4
2019-01-03,12,둔화,위축,0.6352296471595764,1
2019-01-03,12,악화,둔화,0.5065981149673462,5
2019-01-03,12,약화,위축,0.5172010660171509,1
2019-01-03,12,침체,경기,0.5360626578330994,7
2019-01-03,12,침체,둔화,0.5701860189437866,5
2019-01-03,12,침체,위축,0.550397515296936,1
2019-01-03,12,하락,상승,0.7126480340957642,3
2019-01-03,12,하락,약세,0.5661999583244324,1
2019-01-03,12,하락,둔화,0.5260781049728394,5
2019-01-03,12,하락,하락,0.9999999403953552,4
2019-01-03,12,하락,보합,0.6176052689552307,2
2019-01-03,13,실패,성공,0.7068130970001221,3
2019-01-03,14,실패,성공,0.7068130970001221,3
2019-01-04,15,둔화,하락,0.5260781049728394,5
2019-01-04,15,둔화,반등,0.5092458724975586,1
2019-01-04,15,둔화,급락,0.5491443276405334,2
2019-01-04,15,악화,둔화,0.5065981149673462,4
2019-01-04,15,침체,경기,0.5360626578330994,5
2019-01-04,15,침체,둔화,0.5701860189437866,4
2019-01-04,15,하락,상승,0.7126480340957642,2
2019-01-04,15,하락,둔화,0.5260781049728394,4
2019-01-04,15,하락,하락,0.9999999403953552,5
2019-01-04,15,하락,보합,0.6176052689552307,1
2019-01-04,15,하락,반등,0.5754541158676147,1
2019-01-04,15,하락,급락,0.6878489851951599,2
2019-01-04,16,둔화,하락,0.5260781049728394,5
2019-01-04,16,둔화,반등,0.5092458724975586,1
2019-01-04,16,둔화,급락,0.5491443276405334,2
2019-01-04,16,악화,둔화,0.5065981149673462,4
2019-01-04,16,침체,경기,0.5360626578330994,5
2019-01-04,16,침체,둔화,0.5701860189437866,4
2019-01-04,16,하락,상승,0.7126480340957642,2
2019-01-04,16,하락,둔화,0.5260781049728394,4
2019-01-04,16,하락,하락,0.9999999403953552,5
