Open,High,Low,Close,Volume,Change,Action,act
80800,81200,79800,80000,35812268,-0.014778325123152691,0,2
78900,79600,78400,78500,31490096,-0.018750000000000044,0,2
79000,80300,78900,80100,16450920,0.020382165605095537,0,2
80800,80900,79200,79600,17740855,-0.006242197253433224,2,2
79600,80000,79100,79600,17494407,0.0,2,2
79400,79700,79100,79500,16541828,-0.0012562814070351536,2,2
80100,81500,79800,80100,20961714,0.007547169811320753,2,2
80100,80400,79500,79700,13398666,-0.004993757802746579,2,2
80000,80400,79800,79900,13628942,0.0025094102885820924,0,2
80400,80500,79700,79800,11984359,-0.0012515644555695093,2,2
80000,80000,79100,79600,23198510,-0.0025062656641604564,0,2
79800,80400,79400,80100,12360199,0.00628140703517599,2,2
80300,80600,79600,80500,13321324,0.004993757802746579,2,2
80500,81300,80100,80600,14058401,0.001242236024844745,0,2
80400,81400,80300,80800,16414644,0.002481389578163684,0,2
81300,83000,81100,82800,29546007,0.024752475247524774,0,2
82700,82700,81500,82200,18112259,-0.007246376811594235,0,2
82700,82800,81600,81900,16496197,-0.0036496350364964014,0,2
82300,82600,81800,81900,12781226,0.0,2,2
81500,82000,81100,81100,14908823,-0.009768009768009733,2,2
81300,81400,80900,81000,17586995,-0.0012330456226880004,2,2
81200,81700,80700,81000,14087962,0.0,2,2
80800,80900,80500,80500,10550078,-0.006172839506172867,0,2
80900,81200,80600,80900,10075685,0.00496894409937898,2,2
81500,81900,81100,81800,14999855,0.011124845488257096,2,2
81100,81300,80700,80900,14007385,-0.011002444987775029,2,2
81100,81100,80500,80500,14916721,-0.0049443757725586845,0,2
79700,80000,79600,79900,16063340,-0.007453416149068359,2,2
80200,80300,79900,80000,11773365,0.0012515644555695093,2,2
80500,80600,79900,80100,13856548,0.0012499999999999734,0,2
80400,81400,80100,81200,18771080,0.013732833957553092,0,2
81500,81900,81200,81600,13481405,0.0049261083743843415,0,2
81700,82000,81600,81900,11578529,0.003676470588235281,2,2
81900,82100,80800,81000,15744317,-0.01098901098901095,0,2
81100,81400,80700,80700,13288643,-0.0037037037037036535,2,2
80500,80600,80000,80100,13382882,-0.0074349442379182396,0,2
80000,80400,79900,80000,8753097,-0.0012484394506866447,0,2
80100,80800,80000,80400,8330969,0.004999999999999893,2,2
80600,81200,80500,81200,12131651,0.00995024875621886,2,2
81200,81300,80300,80800,15992202,-0.0049261083743842304,2,2
81100,81200,79900,79900,16660998,-0.011138613861386149,2,2
79600,79800,79000,79400,22720577,-0.006257822277847325,0,2
79900,80000,79500,79700,9768108,0.0037783375314861534,2,2
80000,80200,79800,79800,9863450,0.0012547051442910462,0,2
79400,79600,79100,79500,11575636,-0.003759398496240629,0,2
79800,80600,79500,80600,13766279,0.01383647798742138,2,2
80100,80100,79500,79800,10859399,-0.00992555831265507,0,2
79100,79200,78800,79000,13155414,-0.010025062656641603,2,2
78500,79000,78400,79000,12456646,0.0,2,2
79000,79100,78500,78500,12355296,-0.006329113924050667,2,2
79000,79800,78900,79700,12618790,0.015286624203821653,2,2
79700,79900,79200,79300,9098910,-0.005018820577164407,0,2
79400,79500,78800,78800,10040975,-0.006305170239596425,0,2
79200,79400,78500,78500,11427693,-0.0038071065989847552,2,2
78300,79200,78100,79200,12743417,0.008917197452229297,0,2
78800,79400,78800,79000,14360453,-0.002525252525252486,2,2
78900,78900,78500,78500,13823411,-0.006329113924050667,0,2
79200,79500,78700,79300,11739124,0.010191082802547768,2,2
79400,81400,79300,81400,24339360,0.02648171500630525,2,2
82200,83100,81800,82900,25642368,0.01842751842751844,0,2
83300,83300,82000,82100,18485469,-0.00965018094089265,2,2
81900,82500,81300,81500,13342623,-0.0073081607795371095,2,2
81500,82300,80900,81500,15522581,0.0,2,2
82300,82400,80100,80200,20362639,-0.015950920245398792,0,2
79600,79800,78500,78500,30241137,-0.021197007481296715,0,2
77100,78200,76900,77000,42365223,-0.019108280254777066,0,2
75800,76000,74100,74400,61270643,-0.03376623376623378,0,2
74000,75100,74000,74200,30944847,-0.0026881720430107503,2,2
