,const,code,date,lstm,arima,fbprophet,RL,mail_news,mail_news_nsi,asia_news,asia_news_nsi,sampro_youtube,hk_youtube,suka_youtube,change,logit,up_ratio
0,1.0,5380,2021-09-17,208241.2236328125,208203.58735478114,207103.53064680126,-1,0.7333333333333333,146.96666666666667,0.6435897435897436,128.88461538461542,0.0,0.07044268399477005,0.0,1,-1,0.3299277847940605
1,1.0,5380,2021-09-23,207684.5888671875,209323.97121039292,206236.39523724985,-1,0.7105392156862744,142.40196078431367,0.5811482168625025,116.32488146773859,0.5131584722548723,0.8467106620470682,0.0,-1,-1,0.2831640108304133
2,1.0,5380,2021-09-24,207527.7373046875,208031.12372107845,205747.9926813589,1,0.4814814814814815,96.29629629629629,0.41359126984126987,82.71825396825399,0.04364154115319252,0.8467106620470682,0.0,-1,-1,0.22210405204834885
3,1.0,5380,2021-09-27,207766.279296875,206995.43014472187,204323.30099391378,-1,0.4036446886446887,80.82893772893772,0.3958333333333333,79.41666666666666,0.5603423813978831,0.28985561989247804,0.0,-1,-1,0.1884010845007358
4,1.0,5380,2021-09-28,206633.3876953125,204013.8533999525,204063.89511977593,1,0.3630952380952381,72.86904761904762,0.5347222222222222,106.94444444444444,0.4103037938475609,0.2719967067241669,0.0,-1,-1,0.2458056873772269
6,1.0,5380,2021-09-30,204709.5986328125,201746.32768701523,201846.92466664192,1,0.6581632653061223,132.20408163265307,0.7222222222222223,144.77777777777774,0.8282877206802368,0.4313119351863861,0.0,-1,-1,0.334601559189105
7,1.0,5380,2021-10-01,203983.6123046875,199969.27576039504,200829.35970646466,-1,0.09090909090909093,18.181818181818173,0.596031746031746,119.20634920634922,0.09285884350538254,0.9775935709476472,0.0,-1,-1,0.22373092823149837
9,1.0,5380,2021-10-06,200252.6484375,194011.78798759187,196040.6353607554,1,0.5,101.0,0.08333333333333333,16.666666666666654,0.1411760449409485,0.09287608414888382,0.0,1,-1,0.2011833289695717
