const,code,date,lstm,arima,fbprophet,RL,mail_news,mail_news_nsi,asia_news,asia_news_nsi,sampro_youtube,hk_youtube,suka_youtube,change,logit,up_ratio
1.0,5380,2021-09-15,201858.62579345703,208360.80189173453,207779.56942152206,-1,0.7820512820512822,156.7948717948718,0.5997638724911453,119.99822904368358,0.26052141189575195,0.5721736550331116,0.5087302923202515,1,-1,0.2509271903172102
1.0,5380,2021-09-16,200822.38845825195,209079.24087027035,207356.02071810554,-1,0.6777777777777777,135.77777777777777,0.8373015873015872,167.46031746031744,0.26052141189575195,0.054320618510246284,0.5087302923202515,-1,-1,0.3598075753806824
1.0,5380,2021-09-17,200489.4289016724,208181.02618353328,207283.26790726124,-1,0.7333333333333333,146.96666666666667,0.6435897435897436,128.88461538461542,0.26052141189575195,0.07044268399477005,0.5087302923202515,1,1,0.6153387930892225
1.0,5380,2021-09-23,199747.90325164798,209227.17319980575,206440.06620225887,-1,0.7105392156862744,142.40196078431367,0.5811482168625025,116.32488146773859,0.5131584722548723,0.8467106620470682,0.5087302923202515,-1,1,0.7050669621987155
1.0,5380,2021-09-24,199638.87939453125,208126.4205718848,205964.91293238036,1,0.4814814814814815,96.29629629629629,0.41359126984126987,82.71825396825399,0.04364154115319252,0.8467106620470682,0.5087302923202515,-1,-1,0.4739999446246412
1.0,5380,2021-09-27,199727.76393890378,207060.79744676483,204546.4604760788,-1,0.4036446886446887,80.82893772893772,0.3958333333333333,79.41666666666666,0.5603423813978831,0.28985561989247804,0.5087302923202515,-1,-1,0.3709651607062148
1.0,5380,2021-09-28,198528.24916839603,204069.13836104845,204266.66051381364,1,0.3630952380952381,72.86904761904762,0.5347222222222222,106.94444444444444,0.4103037938475609,0.2719967067241669,0.5087302923202515,-1,-1,0.3890323508639909
1.0,5380,2021-09-30,197023.4603881836,201647.6833387497,202086.00747745926,1,0.6581632653061226,132.20408163265307,0.7222222222222223,144.77777777777774,0.8282877206802368,0.4313119351863861,0.5087302923202515,-1,-1,0.42576681578933556
1.0,5380,2021-10-01,196401.98955535892,200070.9593725792,201079.60769782015,-1,0.09090909090909093,18.181818181818173,0.596031746031746,119.20634920634922,0.09285884350538254,0.9775935709476472,0.5087302923202515,-1,-1,0.29908682440411866
1.0,5380,2021-10-05,194057.48996734622,192969.93360928525,197515.06294458266,1,0.4159055145046525,83.25253147235905,0.3994525082760377,80.18461930226638,0.2242267578840256,0.9775935709476472,0.5087302923202515,-1,-1,0.3638101017395123
