const,code,date,lstm,arima,fbprophet,RL,mail_news,mail_news_nsi,asia_news,asia_news_nsi,sampro_youtube,hk_youtube,suka_youtube,change,logit,up_ratio
1.0,660,2021-09-16,108920.0659751892,107550.48283085284,105246.88158429557,-1,0.5777777777777778,115.55555555555556,0.7892857142857143,157.85714285714286,0.3850813746452332,0.4218718335032463,0.5087302923202515,-1,1,0.6206252780640918
1.0,660,2021-09-17,107355.20546436311,104031.77774457398,105078.3381572668,0,0.5,100.0,0.3056410256410257,61.12820512820512,0.24351458872358006,0.5351223945617676,0.5087302923202515,1,1,0.6312551591762396
1.0,660,2021-09-23,108519.86811161038,107116.50903439641,103850.69255289577,-1,0.5,100.33333333333331,0.4713474025974026,94.51948051948051,0.4616166651248932,0.3979600009818872,0.5087302923202515,-1,1,0.5437497876235751
1.0,660,2021-09-24,107476.01981163023,105249.97097420515,103567.2852107755,1,0.18666666666666668,37.333333333333336,0.4577380952380953,91.54761904761908,0.07909926027059555,0.36501017212867737,0.5087302923202515,-1,-1,0.3298812339789126
1.0,660,2021-09-27,107726.80578231813,104093.30538481462,102325.908317129,1,0.3571428571428571,71.42857142857143,0.5256832910679065,105.36742744435051,0.16317216865718365,0.36501017212867737,0.5087302923202515,1,-1,0.45384991502285715
1.0,660,2021-09-28,107043.38722229004,104730.35210248816,102359.06357210953,-1,0.4031746031746032,80.80158730158729,0.2820616883116883,56.537337662337656,0.3264857396483421,0.36501017212867737,0.5087302923202515,-1,1,0.5373771043476715
1.0,660,2021-09-29,107021.11101150511,103212.45583336598,101925.9588669408,0,0.35714285714285715,71.42857142857143,0.35,70.0,0.2841523662209511,0.36501017212867737,0.5087302923202515,-1,-1,0.46536903502551685
1.0,660,2021-09-30,102079.7863483429,99956.28985721376,101804.4513279066,0,0.2,40.0,0.0,0.0,0.2673412437240283,0.4959559440612793,0.5087302923202515,1,-1,0.46911136435540407
1.0,660,2021-10-01,104292.1452999115,103483.5077390758,101463.37749975242,0,0.5,100.0,0.20122549019607844,40.49509803921568,0.3677166936298211,0.9657880663871764,0.5087302923202515,-1,-1,0.42450679385276957
1.0,660,2021-10-05,102533.43412876126,99530.65887775118,100137.50468342468,1,0.515151515151515,103.31601731601731,0.36861471861471856,73.72294372294371,0.2242267578840256,0.9657880663871764,0.5087302923202515,-1,-1,0.4889656751729241
