,const,code,date,lstm,arima,fbprophet,RL,mail_news,mail_news_nsi,asia_news,asia_news_nsi,sampro_youtube,hk_youtube,suka_youtube,change,logit,up_ratio
0,1.0,660,2021-09-24,105066.0615234375,105347.85773079506,102856.74143108768,1,0.18666666666666668,37.333333333333336,0.4577380952380953,91.54761904761908,0.07909926027059555,0.36501017212867737,0.0,-1,-1,0.3421652417442513
1,1.0,660,2021-09-27,106065.00390625,104174.31421801554,101443.03638244231,1,0.35714285714285715,71.42857142857143,0.5256832910679065,105.36742744435051,0.16317216865718365,0.36501017212867737,0.0,1,-1,0.43651421643908045
2,1.0,660,2021-09-28,104453.3046875,104586.03188903985,101421.49026166188,-1,0.4031746031746032,80.80158730158729,0.2820616883116883,56.537337662337656,0.3264857396483421,0.36501017212867737,0.0,-1,-1,0.2921393204452945
3,1.0,660,2021-09-29,104938.6865234375,103492.60329434244,100889.374148559,0,0.35714285714285715,71.42857142857143,0.35,70.0,0.2841523662209511,0.36501017212867737,0.0,-1,-1,0.37621474216080303
4,1.0,660,2021-09-30,99899.36865234376,99993.48999704183,100691.79811619123,0,0.2,40.0,0.0,0.0,0.2673412437240283,0.4959559440612793,0.0,1,-1,0.3510674918257661
5,1.0,660,2021-10-01,100278.9619140625,102619.70815488418,100294.05107829614,0,0.5,100.0,0.20122549019607844,40.49509803921569,0.3677166936298211,0.9657880663871764,0.0,-1,-1,0.2515969518564832
6,1.0,660,2021-10-05,100110.20751953124,100140.16683684604,98726.01469921671,1,0.5007575757575757,100.40151515151514,0.3120851370851371,62.41702741702743,0.4779928028583527,0.9657880663871764,0.0,-1,-1,0.38317925798837255
7,1.0,660,2021-10-06,97754.47265625,98117.96012738538,98196.34214428002,-1,0.14863945578231294,29.72789115646259,0.23201797627263465,46.40359525452693,0.40152569115161896,0.9657880663871764,0.0,-1,-1,0.38479361179780835
8,1.0,660,2021-10-07,97663.22534179688,96420.18069281297,98015.46018128908,-1,0.3225396825396825,64.50793650793652,0.35227272727272724,70.65454545454546,0.18013814091682434,0.9657880663871764,0.0,-1,1,0.5540694761081874
9,1.0,660,2021-10-08,96108.1474609375,95418.09511737183,97650.12103650619,-1,0.35897435897435903,71.7948717948718,0.3333333333333333,66.66666666666667,0.0729479044675827,0.9657880663871764,0.0,-1,1,0.5610212482242735
